,지역,호텔
847,서울,M 모텔
848,서울,서울의휴일게스트하우스
849,서울,N모텔
850,서울,파레스모텔
851,서울,호텔시크
852,서울,오렌지모텔
853,서울,본모텔
854,서울,칸호텔
855,서울,버니모텔
856,서울,P.S 게스트하우스 이태원
857,서울,하이모텔
858,서울,러쉬 호텔
859,서울,명동 맘하우스
860,서울,해밀 한옥 게스트하우스
861,서울,담모텔
862,서울,화웬하우스
863,서울,노바루스 관광 호텔
864,서울,모스크
865,서울,제로미네 게스트하우스
866,서울,케이투 모텔
867,서울,미니 호텔 달콤
868,서울,비마이 게스트하우스
869,서울,필스테이 동대문
870,서울,한글 게스트하우스
871,서울,중랑 T
872,서울,종로 벤허 모텔
873,서울,엠지호텔
874,서울,삼청동 코리아게스트 하우스
875,서울,베스트인 부티크
876,서울,구모텔
877,서울,호텔 팝 종로 2
878,서울,24 게스트하우스 경복궁점
879,서울,마중 게스트하우스 서울역
880,서울,우 게스트하우스
881,서울,도운모텔
882,서울,마마 게스트하우스
883,서울,호텔 M&A
884,서울,돈키호텔
885,서울,Bj호텔
886,서울,리오모텔
887,서울,샤인모텔
888,서울,드리머스 게스트하우스
